,user_id,shop_id,pay_time
0,17739226,1302,2016-07-11 10:00:00
1,17739226,1302,2016-06-11 16:00:00
2,17739226,1302,2016-06-09 16:00:00
3,17739226,1302,2016-05-22 22:00:00
4,17739226,1302,2016-08-20 12:00:00
5,17739226,1302,2016-03-31 16:00:00
6,17739226,1302,2016-01-24 20:00:00
7,17739226,1302,2016-06-11 11:00:00
8,17739226,1302,2015-12-17 17:00:00
9,17739226,1302,2016-07-16 13:00:00
10,17739226,1302,2016-06-11 11:00:00
11,17739226,1302,2016-08-30 21:00:00
12,17739226,1302,2016-08-30 19:00:00
13,17739226,1302,2016-05-30 17:00:00
14,17739226,1302,2016-03-05 16:00:00
15,17739226,1302,2016-05-30 19:00:00
16,17739226,1302,2016-08-02 17:00:00
17,17739226,1302,2016-04-10 13:00:00
18,17739226,1302,2016-03-09 16:00:00
19,17739226,1302,2016-05-23 21:00:00
20,17739226,1302,2016-03-24 17:00:00
21,17739226,1302,2016-05-31 21:00:00
22,17739226,1302,2016-10-04 16:00:00
23,17739226,1302,2016-07-25 12:00:00
24,17739226,1302,2016-08-13 16:00:00
25,17739226,1302,2016-07-22 16:00:00
26,17739226,1302,2016-05-29 20:00:00
27,17739226,1302,2016-05-12 14:00:00
28,17739226,1302,2016-07-24 13:00:00
29,17739226,1302,2016-04-19 09:00:00
30,17739226,1302,2016-01-21 17:00:00
31,17739226,1302,2016-05-31 09:00:00
32,17739226,1302,2016-08-27 17:00:00
33,17739226,1302,2016-06-12 16:00:00
34,17739226,1302,2016-07-10 08:00:00
35,17739226,1302,2016-09-05 21:00:00
36,17739226,1302,2016-05-08 11:00:00
37,17739226,1302,2016-07-02 16:00:00
38,17739226,1302,2016-07-01 14:00:00
39,17739226,1302,2016-02-19 15:00:00
40,17739226,1302,2016-04-17 14:00:00
41,17739226,1302,2016-06-20 21:00:00
42,17739226,1302,2016-05-26 17:00:00
43,17739226,1302,2016-02-19 14:00:00
44,17739226,1302,2015-12-17 08:00:00
45,17739226,1302,2016-06-15 17:00:00
46,17739226,1302,2016-02-15 16:00:00
47,17739226,1302,2016-05-19 13:00:00
48,17739226,1302,2016-06-09 20:00:00
49,17739226,1302,2016-01-21 14:00:00
50,17739226,1302,2016-06-11 11:00:00
51,17739226,1302,2016-05-26 08:00:00
52,17739226,1302,2016-05-26 08:00:00
53,17739226,1302,2016-05-19 13:00:00
54,17739226,1302,2016-02-22 20:00:00
55,17739226,1302,2016-04-19 09:00:00
56,17739226,1302,2016-06-06 18:00:00
57,17739226,1302,2016-02-13 11:00:00
58,17739226,1302,2016-07-28 11:00:00
59,17739226,1302,2016-05-25 21:00:00
60,17739226,1302,2016-01-15 11:00:00
61,17739226,1302,2016-01-08 16:00:00
62,17739226,1302,2016-02-22 19:00:00
63,17739226,1302,2016-04-23 16:00:00
64,17739226,1302,2016-01-15 08:00:00
65,17739226,1302,2016-01-08 11:00:00
66,17739226,1302,2016-09-05 15:00:00
67,17739226,1302,2016-07-23 13:00:00
68,17739226,1302,2016-01-05 21:00:00
69,17739226,1302,2016-07-05 17:00:00
70,17739226,1302,2016-07-23 13:00:00
71,17739226,1302,2016-06-29 21:00:00
72,17739226,1302,2016-02-20 11:00:00
73,17739226,1302,2016-01-22 12:00:00
74,17739226,1302,2016-06-24 21:00:00
75,17739226,1302,2016-06-24 12:00:00
76,17739226,1302,2016-07-03 21:00:00
77,17739226,1302,2016-04-21 21:00:00
78,17739226,1302,2016-07-03 21:00:00
79,17739226,1302,2016-09-10 21:00:00
80,17739226,1302,2016-04-21 11:00:00
81,17739226,1302,2015-12-14 17:00:00
82,17739226,1302,2016-06-21 13:00:00
83,17739226,1302,2016-05-15 10:00:00
84,17739226,1302,2016-07-05 08:00:00
85,17739226,1302,2016-05-21 08:00:00
86,17739226,1302,2016-05-21 13:00:00
87,17739226,1302,2016-05-21 15:00:00
88,17739226,1302,2016-03-11 17:00:00
89,17739226,1302,2016-06-05 15:00:00
90,17739226,1302,2016-08-20 13:00:00
